entity_group,entity,persian_name,purpose,key_taksa_sources,raw_tables_or_objects,core_fields,roundtrip_rule,ui_surface,mvp_priority,confidence
سازگاری تکسا / Round-trip,TaksaArtifact,پرونده خام تکسا,نگهداری فایل واردشده، نوع فایل، نسخه، hash، وضعیت import/export و مسیر برگشت به تکسا.,"SVZT actual XML, ScriptXML.sql, brv/psn/svz importer procedures","NewDataSet root, all XML tags, BRVIMPORT*/SVZIMPORT*/PSNIMPORT*","id, artifact_type, original_filename, original_hash, root_name, source_app_version, imported_at, export_status",همیشه فایل خام و ترتیب tag/row حفظ شود؛ export از روی merge به raw انجام شود نه تولید صفر.,Advanced Taksa Compatibility / Import Center,Critical,High
سازگاری تکسا / Round-trip,TaksaRawTable,جدول خام تکسا,نگهداری هر tag زیر NewDataSet به عنوان یک جدول خام با case دقیق نام.,"Actual SVZT, section04 table summary",45 actual XML tables,"artifact_id, raw_table_name, raw_table_order, row_count, field_count, scriptxml_match_status",نام table case-sensitive و با فاصله/اشکال احتمالی واقعی حفظ شود.,Compatibility Inspector,Critical,High
سازگاری تکسا / Round-trip,TaksaRawRow,ردیف خام تکسا,حفظ ردیف خام، ترتیب ردیف، فیلدهای شناخته/ناشناخته و اتصال به رکورد وب.,"Actual SVZT row order, raw_to_web_entity_mapping",All brv_* and base_* XML tags,"raw_table_id, row_order, raw_json, normalized_entity, normalized_id, dirty_patch_json",unknown fields هرگز حذف نشوند؛ فقط patch کنترل‌شده روی فیلدهای مجاز اعمال شود.,Hidden for users / Support only,Critical,High
مبانی / Reference Database,ReferenceBook,دفترچه / سال فهرست‌بها,مدیریت سال، رشته، دفترچه، فصل‌ها و مبانی رسمی پروژه.,"Faragamara_Taksa.DB addendum, PDF fhbh, base_book, viwBase1400..1404","base_book, viwBase1400..1404, CNV*, copy_base_*","id, year, discipline_code, book_code, title, effective_date, source_version",کد سال/رشته/دفترچه باید دقیق بماند؛ تغییر سال باید با conversion map انجام شود.,Price List Explorer / Project Settings,Critical,High
مبانی / Reference Database,PriceListChapter,فصل فهرست‌بها,فصل‌بندی آیتم‌ها و خلاصه فصل‌ها.,"base_fsbs, base_fosi, brv_fhpy, Reports seas","base_fsbs, base_fosi, brv_fhpy","id, book_id, chapter_code, title, order_index, parent_chapter_id",کد فصل و ترتیب فصل برای گزارش seas و برگشت به تکسا حفظ شود.,Price List Explorer / Chapter Summary,Critical,High
مبانی / Reference Database,PriceListItem,ردیف فهرست‌بها,آیتم پایه شامل کد ردیف، شرح، واحد، بهای واحد، نوع آیتم و ارتباط فصل.,"base_fhbh, base_nmmhb, fhbh PDFs, brv_fhbh snapshot","base_fhbh, base_nmmhb, brv_fhbh","id, book_id, chapter_id, nufh, nuse, cofh, description, unit_id, base_price, item_type",nufh/nuse/cofh/unit بدون mapping رسمی تغییر نکند؛ item snapshot جدا از reference نگهداری شود.,Price List Explorer / Item Picker,Critical,High
مبانی / Reference Database,Unit,واحد,نرمال‌سازی و حفظ واحدهای تکسا برای آیتم‌ها، منابع و ریزمتره.,"base_unit, base_unit_raw, LstUsesOfUnit","base_unit, base_unit_raw","id, taksa_unit_id, unit_text, normalized_text, usage_scope",متن/کد واحد خام حفظ شود؛ فقط نمایش وب normalize شود.,Reference Data / Price List,Critical,High
مبانی / Reference Database,Resource,عامل منبع / مصالح / نیروی انسانی / ماشین‌آلات / حمل,نگهداری منابع پایه و قیمت روز منابع برای آنالیز بها.,"base_sorc, base_sorc_list, resource_price.xlsx, brv_sorc_all","base_sorc, base_sorc_list, brv_sorc_all, brv_sorc, brv_nmmhb","id, resource_code, title, unit_id, resource_type, base_price, current_price",کدعامل و واحد منبع خام حفظ شود؛ قیمت روز به عنوان extension قابل audit ذخیره شود.,Resources & Analysis,High,Medium-High
مبانی / Reference Database,IndexPeriod,شاخص دوره‌ای,شاخص‌های تعدیل بر اساس سال/فصل/دوره/نوع شاخص.,"Shkh PDFs, Base_ShakhesYerSeMahe, V_Shakhes*, brv_intp","Base_ShakhesYerSeMahe, V_Shakhes*, base_ShakhesType, brv_intp","id, index_type_id, year, quarter_or_month, chapter_code, index_value, official_source",دوره شاخص و نوع شاخص باید دقیقاً با تکسا تطبیق داده شود.,Adjustment / Index Explorer,Critical,High
پروژه و قرارداد,Project,پروژه,ظرف اصلی اطلاعات قرارداد، عوامل، فهرست‌بها، اسناد و گردش کار.,"brv_contract, project tree evidence, IsProjectAvailable",brv_contract,"id, taksa_project_id, title, code, status, active_book_id, started_at, ended_at",taksa_project_id/link_proj باید برای همه raw rowها حفظ شود.,Project Workbench,Critical,High
پروژه و قرارداد,Contract,قرارداد,مشخصات مالی، زمانی، نوع پیمان، ضرایب کلی و اطلاعات پایه قرارداد.,"brv_contract, pymn reports, Mali/Fosool templates","brv_contract, brv_elhagh","id, project_id, contract_no, subject, amount, base_date, duration, contractor_id, consultant_id, employer_id",فیلدهای مالی/تاریخ/نوع قرارداد باید با raw brv_contract patch شوند؛ الحاقیه‌ها جدا بمانند.,Project / Contract,Critical,High
پروژه و قرارداد,ProjectParty,عامل پروژه,کارفرما، مشاور، پیمانکار، ناظر و نقش‌های پروژه.,"brv_type, base_PersonalityTyp, brv_type_situ","brv_type, base_PersonalityTyp","id, project_id, party_name, role_type, taksa_type_id, contact_info, legal_type",typ_id/type برای workflow و صورت‌وضعیت‌ها نباید عوض شود.,Project Parties / Workflow Roles,Critical,High
اسناد مالی پروژه,CommercialDocument,سند مالی پروژه,مدل مشترک برای برآورد، پیشنهاد/پیمان و صورت‌وضعیت با modeهای brv/psn/svz.,"brv_importer, psn_importer, svz_importer, brv_type_situ","brv_type_situ, brv_situ, BRVIMPORT*, PSNIMPORT*, SVZIMPORT*","id, project_id, document_kind, taksa_type, taksa_nusv, status, version_no, party_role_id",type/nusv/situ کلید اصلی round-trip است؛ هیچ سند وب نباید بدون آن export شود.,Estimate / Bid / Payment Certificate,Critical,High
اسناد مالی پروژه,PaymentPeriod,دوره / شماره صورت‌وضعیت,مدیریت شماره، نوع، تاریخ و حالت صورت‌وضعیت.,"brv_situ, BaseSituNoe, brv_type_situ","brv_situ, BaseSituNoe","id, project_id, situ_no, situ_kind, period_start, period_end, issue_date",stu_id/stu_link_proj/stn type باید دقیق حفظ شود.,Payment Certificate Builder,Critical,High
اسناد مالی پروژه,DocumentVersion,نسخه رسیدگی / وضعیت نقش,نسخه سند برای پیمانکار/مشاور/کارفرما و وضعیت رسیدگی.,"brv_type_situ, Fn_TypeIsLocked, Fn_VersionNztIsLocked","brv_type_situ, smn_Version_Type","id, document_id, party_role_id, workflow_state, is_locked, submitted_at, approved_at",قفل نسخه و وضعیت نباید با تغییر UI شکسته شود؛ delete باید dependency-safe باشد.,Review Desk / Employer Approval,Critical,High
آیتم‌ها و فصل‌بندی پروژه,ProjectItemSnapshot,آیتم پروژه / Snapshot فهرست‌بها,آیتم‌های قرارداد یا صورت‌وضعیت در همان سال/نسخه پروژه، جدا از آیتم مرجع.,"brv_fhbh, brv_ader, Reports fhbh","brv_fhbh, brv_ader","id, document_id, price_item_id, nufh, nuse, cofh, description, unit, unit_price, item_order",کدهای nufh/nuse/cofh و ترتیب row باید مطابق raw برگردد.,Price List Items / Payment Lines,Critical,High
آیتم‌ها و فصل‌بندی پروژه,ChapterSummary,خلاصه فصل پروژه,جمع فصل، ضرایب فصل و خروجی گزارش‌های seas.,"brv_fhpy, Fosool.xls, seas reports",brv_fhpy,"id, document_id, chapter_code, amount_before_coeff, amount_after_coeff, coefficient_summary",جمع‌های محاسباتی باید report-ready باشند ولی raw brv_fhpy نیز patch-controlled بماند.,Chapter Summary,Critical,High
آیتم‌ها و فصل‌بندی پروژه,CoefficientAssignment,اعمال ضریب,ضرایب کلی، فصلی، ردیفی، دوره‌ای و انواع مرتبط با قرارداد/صورت‌وضعیت.,"brv_mult, base_zrtj, update_zarib_fhpy_mult, zrib reports","brv_mult, base_zrtj","id, document_id, scope, chapter_code, item_key, coefficient_type, coefficient_value, apply_order",سطح و ترتیب اعمال ضریب باید دقیق ذخیره شود؛ تغییر نمایشی نباید raw matrix را از بین ببرد.,Coefficients Panel,Critical,High
متره و کارکرد,MeasurementGroup,گروه ریزمتره / صورتجلسه,گروه‌بندی ریزمتره، صورتجلسه، مبنا یا منبع مقدار.,"brv_mogs, kholaseh_metreh.xls, mog/link_mog patterns",brv_mogs,"id, document_id, group_no, title, site_minute_no, date, description",link_mog برای اتصال ریزمتره/حمل/مسیر حفظ شود.,Measurement / Site Minutes,Critical,Medium-High
متره و کارکرد,MeasurementLine,ردیف ریزمتره,ردیف‌های عددی/فرمولی متره، محاسبه مقدار و اتصال به آیتم پروژه.,"brv_rzmt, Rizmertreh.xls, rzmt reports",brv_rzmt,"id, document_id, measurement_group_id, project_item_id, expression, quantity, unit, row_order",عددها numeric بمانند؛ فرمول/شرح خام حذف نشود؛ row_order حفظ شود.,Measurement Grid / Measurement Wizard,Critical,High
متره و کارکرد,ActivitySchedule,فعالیت / برنامه فعالیت‌محور,فعالیت‌های پروژه و اتصال ریزمتره فعالیت‌محور.,"brv_acts, base_acts_unit, rzmt_act.xls, act_nufh patterns","brv_acts, base_acts_unit","id, document_id, activity_code, title, unit, parent_activity_id, weight",کد فعالیت در rzmt_act و brv_acts باید برای export حفظ شود.,Activity-based Measurement,High,Medium-High
متره و کارکرد,ReviewedWorkLine,ردیف کارکرد رسیدگی‌شده,مقدار/مبلغ منتقل‌شده از ریزمتره به رسیدگی، اصلاح مشاور و نسخه قابل پرداخت.,"brv_khmt, Review Desk evidence, khmt reports",brv_khmt,"id, document_version_id, measurement_line_id, contractor_qty, consultant_qty, employer_qty, approved_qty, review_note",اختلاف پیمانکار/مشاور/کارفرما باید versioned باشد و به raw khmt قابل merge باشد.,Review Desk,Critical,High
مالی و پرداخت,FinancialStatementLine,ردیف برگه مالی,ردیف‌های مبلغ، کارکرد، قیمت واحد، مبلغ قبلی/این دوره/تجمعی.,"brv_bgml, Mali.xls, bgml reports, viwSooratVaziat",brv_bgml,"id, document_version_id, project_item_id, previous_qty, current_qty, total_qty, unit_price, current_amount, total_amount",مقدار قبلی/این دوره/تجمعی و مبلغ‌ها باید با تکسا validation شوند.,Financial Summary / Payment Certificate,Critical,High
مالی و پرداخت,DeductionLine,کسورات و اضافات,کسورات صورت‌وضعیت، تعدیل، جبران ارز، رتبه کار و اقلام مشابه.,"brv_kosorat, brv_Tadilkosorat, brv_Arzkosoorat, brv_Jobrankosoorat","brv_kosorat, brv_Tadilkosorat/brv_TadilKosorat, brv_Arzkosoorat, brv_Jobrankosoorat","id, document_version_id, deduction_type, title, base_amount, percent, amount, sign, applies_to",case دقیق brv_Tadilkosorat حفظ شود؛ محاسبه از engine بیاید، export با patch کنترل شود.,Financial Summary / Deductions,Critical,High
تعدیل و شاخص,AdjustmentRun,محاسبه تعدیل,اجرای تعدیل برای دوره/صورت‌وضعیت با شاخص مبنا، شاخص دوره و خروجی فصل/ردیف.,"brv_intp, brv_ahta, viwTadil, tdil reports, Shkh PDFs","brv_intp, brv_ahta","id, document_id, index_base_period, work_period, method, status, calculated_at",دوره و شاخص‌ها باید هم raw هم normalized ذخیره شوند.,Adjustment Engine,Critical,High
تعدیل و شاخص,AdjustmentLine,ردیف نتیجه تعدیل,آحاد/نتایج تعدیل فصلی/رشته‌ای/ردیفی و مبالغ نهایی.,"brv_ahta, tdil/seas_tdil reports",brv_ahta,"id, adjustment_run_id, chapter_code, item_key, base_amount, index_ratio, adjustment_amount",گرد کردن و مبنای فصل/شاخص باید با تکسا تست شود.,Adjustment Detail,Critical,High
حمل و فاصله,TransportDistance,حمل و فاصله,مسیرها، فاصله‌ها، مبدا/مقصد و اتصال به آیتم/ریزمتره.,"brv_dstb, brv_dstn_main, brv_dstn_fromto, brv_hmpy, distance_view, pk_dist reports","brv_dstb, brv_hmpy, brv_hmpy_rzmt, brv_dstn_main, brv_dstn_fromto, brv_dstn_main_rzmt, brv_dstn_fromto_rzmt","id, document_id, measurement_group_id, route_from, route_to, distance, transport_type, amount",link_grop/link_mog/main route relations باید حفظ شود.,Transport / Distance,Medium-High,Medium-High
منابع و آنالیز,AnalysisLine,ردیف آنالیز بها / منبع,اتصال منابع به آیتم‌ها، مقدار عامل، قیمت روز/مبنا و جمع آنالیز.,"brv_sorc, brv_sorc_all, brv_nmmhb, ana/sorc reports, tx_tips analysis","brv_sorc, brv_sorc_all, brv_nmmhb","id, document_id, project_item_id, resource_id, quantity, unit_price, amount, resource_group",کد منبع/واحد/قیمت باید جدا از display نگهداری شود.,Resources & Analysis,High,Medium-High
گزارش و خروجی,ReportTemplate,قالب گزارش وب,نگاشت خروجی‌های RPT تکسا به گزارش PDF/Excel/Print وب.,"Reports_RPT_only.csv, mvp_report_outputs, viw*","1606 RPT names, report tokens, viwSooratVaziat, viwTadil, distance_view","id, report_key, report_family, source_view, output_type, mvp_priority, taksa_examples",گزارش شبیه تکسا است ولی export SVZT جدا validate می‌شود.,Reports Center,High,High
گردش کار و کنترل,WorkflowCase,پرونده گردش کار,مدیریت ارسال، رسیدگی، برگشت، تأیید و قفل سند.,"brv_type_situ, Fn_TypeIsLocked, Fn_VersionNztIsLocked, delete dependency procedures","brv_type_situ, smn_Version_Type, SpDeleteTypeSituDependencies","id, document_id, current_state, current_actor_role, locked_at, lock_reason",state وب باید به type/situ/version تکسا قابل ترجمه باشد.,Inbox / Review Desk / Employer Approval,Critical,Medium-High
گردش کار و کنترل,AuditLog,لاگ تغییرات,ثبت هر تغییر محاسباتی، workflow، import/export و patch raw.,Need added for web; required by lock/version risks,No direct single raw table confirmed; derived web requirement,"id, actor_id, entity, entity_id, action, before_json, after_json, raw_patch_ref, created_at",هر patch قابل برگشت به raw باید audit شود.,System / Support / History,Critical,Product requirement
اسناد و ارتباطات,Attachment,پیوست / سند,فایل‌ها، صورتجلسات، مستندات ریزمتره و ضمائم رسیدگی.,"brv_documents, measurement/site minute needs",brv_documents,"id, project_id, linked_entity_type, linked_entity_id, filename, file_hash, description",اگر از تکسا آمده raw reference حفظ شود؛ فایل جدید وب به عنوان extension ثبت شود.,Attachments / Site Minutes / Review,High,Medium-High
