phase_id,phase_name,goal,main_outputs,depends_on_sections,must_not_do,acceptance_gate,priority
P0,قفل معماری و آماده‌سازی ریپو,تثبیت اسکلت پروژه، naming، ساختار فولدرها، استانداردهای Decimal/RTL/Permission و آماده‌سازی برای کدنویسی واقعی.,"Repo architecture, app shell, shared UI kit, Prisma base, Decimal policy, audit base","9,10,11,12",شروع محاسبات پیچیده یا export SVZT قبل از raw layer,پروژه اجرا شود، RTL درست باشد، auth/role guard کار کند، schema پایه migrate شود.,Critical
P1,Compatibility Layer و Import تکسا,ورود فایل‌های تکسا، حفظ raw، table/row order، validation و mapping اولیه.,"TaksaArtifact, TaksaRawTable, TaksaRawRow, Import Center, Raw Inspector, validation report","4,5,9,10,11",تبدیل مستقیم فایل به مدل وب و حذف raw/unknown fields,یک SVZT نمونه import شود، تعداد table/row حفظ شود، case نام tableها حفظ شود.,Critical
P2,Project Core و Reference Database,تعریف پروژه، قرارداد، عوامل، مبانی فهرست‌بها، سال، رشته، فصل و آیتم.,"Project, Contract, ProjectParty, ReferenceBook, PriceListExplorer, Project Setup Wizard","3,3.1,8,9,11",اتکا فقط به PDF برای مبانی؛ base/reference layer باید جدا باشد.,پروژه و قرارداد ساخته شود، فهرست‌بها جستجو شود، آیتم‌ها با واحد و قیمت numeric نمایش داده شوند.,Critical
P3,Commercial Document و Workflow Base,ساخت سند مالی مشترک برای برآورد/پیشنهاد/صورت‌وضعیت و پیاده‌سازی state machine.,"CommercialDocument, PaymentPeriod, DocumentVersion, WorkflowCase, StateActionBar, Inbox","9,10,11",سه مدل شلخته جدا برای brv/psn/svz؛ باید مدل مشترک با mode باشد.,سند ساخته شود، stateها تغییر کنند، actionها بر اساس نقش و قفل کنترل شوند.,Critical
P4,Measurement و صورتجلسه,ساخت متره/ریزمتره، گروه‌بندی، فرمول ساده، پیوست و اتصال به آیتم.,"MeasurementBuilder, MeasurementGroup, MeasurementLine, AttachmentSidePanel, Quantity calculation MVP","7,9,10,11,12",ذخیره مقدار به صورت text یا float؛ فرمول خام نباید حذف شود.,ردیف ریزمتره ثبت شود، مقدار Decimal محاسبه شود، به آیتم وصل شود، پیوست کنار ردیف ذخیره شود.,Critical
P5,Financial Engine و برگه مالی MVP,محاسبه مقدار قبلی/این دوره/تجمعی، مبلغ، خلاصه مالی و فصل‌ها.,"FinancialSummary, FinancialStatementLine, ChapterSummary, CalculationRun, Trace","2,7,8,9,12",محاسبه داخل UI یا بدون trace؛ rounding حدسی نهایی نشود.,برای سند نمونه، bgml-like summary و Mali-like grid تولید شود و trace داشته باشد.,Critical
P6,Review Desk و Employer Approval,رسیدگی مشاور، diff مقدارها، کامنت، برگشت، تأیید کارفرما و قفل نسخه.,"ConsultantReviewDesk, ReviewDiffGrid, EmployerApprovalPage, VersionHistory, AuditLog","10,11,12",overwrite مقدار پیمانکار توسط مشاور؛ باید نسخه جدا و audit داشته باشد.,ارسال پیمانکار، رسیدگی مشاور، برگشت/تأیید، تأیید کارفرما و قفل سند کامل کار کند.,Critical
P7,"Coefficient, Deduction و Adjustment MVP",پیاده‌سازی ضرایب، کسورات و تعدیل با trace و golden-test readiness.,"CoefficientMatrixEditor, DeductionGrid, AdjustmentEngine, Index selector, Adjustment trace","3.1,8,9,11,12",قفل کردن فرمول‌های حساس بدون مقایسه با خروجی واقعی تکسا.,ضرایب و کسورات با trace اعمال شوند؛ تعدیل نمونه محاسبه و قابل گزارش شود.,Critical
P8,Reports Center و خروجی PDF/Excel,تولید خروجی‌های اصلی شبیه تکسا: برگه مالی، خلاصه فصل، ریزمتره، تعدیل و Excel numeric.,"ReportRegistry, ReportProjection, PDF/Print templates, Excel exports","2,7,11,12",نمایش ۱۶۰۶ گزارش خام به کاربر؛ باید registry دسته‌بندی‌شده باشد.,حداقل گزارش‌های MVP تولید شوند و Excelها numeric و راست‌چین باشند.,High
P9,SVZT Export و Round-trip Validator,ساخت export قابل برگشت به تکسا با raw + patch، validation و diff.,"ExportCenter, ExportValidationChecklist, ExportDiffViewer, SVZT export job","4,5,10,11,12",ساخت SVZT از صفر بدون raw merge؛ حذف unknown field/table ممنوع.,فایل export با zero critical validation ساخته شود و diff قابل مشاهده باشد.,Critical
P10,Golden Tests و Hardening,مقایسه خروجی وب با تکسا، تثبیت rounding، ضرایب، تعدیل، قفل، export و عملکرد.,"Golden test suite, tolerance reports, performance checks, bug bash, security review",12 and all implementation phases,انتشار production بدون golden tests روی نمونه واقعی.,اختلاف‌های عددی ثبت/حل شوند، export validate شود، نقش‌ها و قفل‌ها تست شوند.,Critical
