transition_key,from_state,to_state,allowed_roles,conditions,system_action,audit_events,lock_effect
upload_file,import_uploaded,import_parsed,system,فایل قابل خواندن باشد,parse_xml_create_raw,"ImportJobCreated, RawTablesCreated",نه
validate_import,import_parsed,import_validated,system,root=NewDataSet و tableها قابل شمارش باشند,validate_required_tags_and_keys,ImportValidated,نه
mapping_needs_review,import_validated,import_mapping_review,system,tag/field ناشناخته یا mismatch با ScriptXML,flag_mapping_issues,MappingIssueCreated,نه
approve_mapping,import_mapping_review,import_ready,support_admin,مسائل mapping حل شده باشد,normalize_entities,"MappingApproved, EntitiesCreated",نه
accept_import,import_validated,import_ready,support_admin/project_admin,هیچ ریسک بحرانی نباشد,normalize_entities,ImportAccepted,نه
reject_import,import_uploaded/import_parsed/import_validated,import_rejected,support_admin/project_admin,ریسک برگشت یا خرابی زیاد باشد,mark_rejected,ImportRejected,نه
create_project,none,project_draft,project_admin,اطلاعات پایه وجود داشته باشد,create_project,ProjectCreated,نه
configure_project,project_draft,project_configured,project_admin,قرارداد، عوامل و فهرست‌بها تعیین شوند,save_contract_parties_reference,ProjectConfigured,نه
activate_project,project_configured,project_active,project_admin,اعتبارسنجی پروژه موفق باشد,activate_project,ProjectActivated,نه
archive_project,project_active,project_archived,project_admin,همه اسناد بسته یا read-only شوند,archive_project,ProjectArchived,بله، read-only
start_document,project_active,doc_draft,contractor/project_admin,پروژه فعال و مبانی معتبر باشد,create_commercial_document,DocumentCreated,نه
start_measurement,doc_draft,measurement_in_progress,contractor,سند پیش‌نویس باشد,open_measurement_wizard,MeasurementStarted,نه
finish_measurement,measurement_in_progress,contractor_internal_check,contractor,ریزمتـره و پیوست‌ها کامل باشند,calculate_totals,"MeasurementCompleted, TotalsCalculated",نه
submit_to_consultant,contractor_internal_check,submitted_to_consultant,contractor,اختلاف محاسباتی بحرانی نباشد,create_contractor_version,SubmittedToConsultant,نسخه پیمانکار قفل نرم
open_consultant_review,submitted_to_consultant,consultant_reviewing,consultant_reviewer,مشاور دسترسی داشته باشد,create_consultant_review_session,ConsultantReviewStarted,نه
return_to_contractor,consultant_reviewing,returned_to_contractor,consultant_reviewer,حداقل یک ایراد/کامنت برگشتی ثبت شود,return_with_comments,ReturnedToContractor,نسخه مشاور ثبت می‌شود
contractor_resubmit,returned_to_contractor,submitted_to_consultant,contractor,اصلاحات انجام شده باشد,create_new_contractor_revision,ResubmittedToConsultant,نسخه قبلی read-only
consultant_approve,consultant_reviewing,consultant_approved,consultant_reviewer,همه ردیف‌ها تعیین تکلیف شده باشند,approve_consultant_version,ConsultantApproved,نسخه مشاور قفل
submit_to_employer,consultant_approved,submitted_to_employer,consultant_reviewer/project_admin,برگه مالی و گزارش‌ها آماده باشند,submit_to_employer,SubmittedToEmployer,نه
open_employer_review,submitted_to_employer,employer_reviewing,employer_approver,کارفرما دسترسی داشته باشد,create_employer_review_session,EmployerReviewStarted,نه
employer_return,employer_reviewing,returned_by_employer,employer_approver,دلیل برگشت ثبت شود,return_to_consultant_or_contractor,ReturnedByEmployer,نسخه کارفرما ثبت می‌شود
consultant_resubmit_to_employer,returned_by_employer,submitted_to_employer,consultant_reviewer,اصلاحات رسیدگی شده باشد,create_new_consultant_revision,ResubmittedToEmployer,نسخه قبلی read-only
employer_approve,employer_reviewing,employer_approved,employer_approver,خلاصه مالی، کسورات و گزارش‌ها تأیید شوند,approve_employer_version,EmployerApproved,نسخه نهایی آماده قفل
lock_document,employer_approved,document_locked,system/project_admin,هیچ export/validation خطای بحرانی نداشته باشد,lock_document_version,DocumentLocked,بله
prepare_export,document_locked,export_ready,system,SVZT validator و report data آماده باشد,prepare_reports_and_taksa_patch,ExportPrepared,بله
export_taksa,export_ready,exported_to_taksa,support_admin/project_admin,کاربر مجاز و validation موفق,merge_patch_to_raw_xml,TaksaExported,بله
start_adjustment,document_locked/employer_approved,adjustment_draft,financial_controller/consultant_reviewer,دوره و شاخص‌ها انتخاب شده باشند,create_adjustment_run,AdjustmentCreated,نه
calculate_adjustment,adjustment_draft,adjustment_calculated,system,شاخص مبنا و دوره معتبر باشد,calculate_adjustment_lines,AdjustmentCalculated,نه
review_adjustment,adjustment_calculated,adjustment_reviewing,consultant_reviewer/financial_controller,محاسبات آماده بررسی باشند,open_adjustment_review,AdjustmentReviewStarted,نه
approve_adjustment,adjustment_reviewing,adjustment_approved,employer_approver,اختلاف/ایراد بحرانی نمانده باشد,approve_adjustment,AdjustmentApproved,بله
