engine_key,persian_name,responsibility,source_of_truth,input_entities,output_entities,critical_tables,report_targets,api_entrypoints,trace_required,roundtrip_risk,priority
reference_price_list_engine,موتور مبانی و فهرست‌بها,انتخاب و اعتبارسنجی دفترچه، رشته، فصل، ردیف، واحد و قیمت پایه.,"base_fhbh, base_fsbs, base_book, base_nmmhb, viwBase1400..1404, PDFهای fhbh/Note","ReferenceBook, PriceListChapter, PriceListItem, Unit","ProjectItemSnapshot, ChapterSummary","base_fhbh, base_fsbs, base_fosi, brv_fhbh, brv_fhpy","fhbh reports, seas reports, Fosool.xls",GET /api/projects/[projectId]/price-list/items,yes,تغییر کد ردیف/واحد/سال باعث خرابی برگشت به تکسا می‌شود.,P0
measurement_engine,موتور متره و ریزمتره,محاسبه مقدار ردیف‌های ریزمتره از فرمول‌ها، ابعاد، تعداد و اتصال به آیتم.,"brv_rzmt, Rizmertreh.xls, kholaseh_metreh.xls, rzmt_act.xls, rzmt reports","MeasurementGroup, MeasurementLine, ProjectItemSnapshot, ActivitySchedule","MeasurementLine.quantity, MeasurementTotals","brv_rzmt, brv_mogs, brv_acts","rzmt reports, Rizmertreh.xls, kholaseh_metreh.xls",POST /api/documents/[documentId]/measurement/recalculate,yes,فرمول/شرح خام و ترتیب ردیف نباید هنگام محاسبه حذف شود.,P0
coefficient_engine,موتور ضرایب,اعمال ضرایب پروژه/فصل/ردیف/دوره با ترتیب درست و قابل ردیابی.,"brv_mult, base_zrtj, update_zarib_fhpy_mult, CreateBrvMult, Lc/Zarib PDFs","CoefficientAssignment, ProjectItemSnapshot, ChapterSummary","CoefficientTrace, adjusted chapter/item amounts","brv_mult, brv_fhpy, brv_fhbh","zrib reports, bgml reports, seas reports",POST /api/documents/[documentId]/financial/recalculate,yes,اشتباه در ترتیب اعمال ضرایب کل برگه مالی را تغییر می‌دهد.,P0
payment_certificate_engine,موتور صورت‌وضعیت و برگه مالی,محاسبه مقدار قبلی، این دوره، تجمعی، قیمت واحد، مبلغ این دوره و مبلغ تجمعی.,"brv_bgml, brv_khmt, brv_situ, viwSooratVaziat, Mali.xls, bgml reports","ReviewedWorkLine, FinancialStatementLine, ProjectItemSnapshot, PaymentPeriod","FinancialStatementLine, FinancialSummary","brv_bgml, brv_khmt, brv_situ, brv_type_situ","bgml reports, Mali.xls, sv reports",POST /api/documents/[documentId]/financial/recalculate,yes,اشتباه در nusv/type/situ یا previous/current/total باعث عدم تطابق با تکسا می‌شود.,P0
review_reconciliation_engine,موتور رسیدگی و مغایرت,تبدیل مقدار پیمانکار به مقدار رسیدگی مشاور/کارفرما و نگهداری اختلاف‌ها.,"brv_khmt, brv_type_situ, DocumentVersion, Review Desk workflow","MeasurementLine, ReviewedWorkLine, DocumentVersion","ReviewedWorkLine, ReviewDiff, AuditLog","brv_khmt, brv_type_situ",review-ready bgml/khmt reports,PATCH /api/documents/[documentId]/review/lines/[lineId],yes,اصلاح مشاور نباید overwrite داده پیمانکار باشد؛ باید versioned باشد.,P0
deduction_engine,موتور کسورات و اضافات,محاسبه کسورات، اضافات، کسورات تعدیل، جبران ارز و اقلام مالی مشابه.,"brv_kosorat, brv_Tadilkosorat/brv_TadilKosorat, brv_Arzkosoorat, brv_Jobrankosoorat, PDFهای قوانین","DeductionLine, FinancialSummary, AdjustmentRun","DeductionLine.amount, PayableAmount","brv_kosorat, brv_Tadilkosorat, brv_Arzkosoorat, brv_Jobrankosoorat","bgml reports, tdil reports, Mali.xls",POST /api/documents/[documentId]/financial/recalculate,yes,case حساس brv_Tadilkosorat باید حفظ شود؛ sign و base_amount دقیق باشد.,P0
adjustment_index_engine,موتور تعدیل و شاخص,انتخاب شاخص مبنا/دوره، محاسبه تعدیل فصلی/ردیفی و تولید trace قابل گزارش.,"Shkh PDFs, Base_ShakhesYerSeMahe, V_Shakhes*, brv_intp, brv_ahta, viwTadil","AdjustmentRun, AdjustmentLine, IndexPeriod, FinancialStatementLine","AdjustmentLine, AdjustmentSummary, linked DeductionLine if needed","brv_intp, brv_ahta, Base_ShakhesYerSeMahe, V_Shakhes*","tdil reports, shkh reports, sv_tdil reports",POST /api/adjustments/[adjustmentRunId]/calculate,yes,دوره شاخص، گرد کردن و درون‌یابی اگر خطا داشته باشد خروجی تکسا match نمی‌شود.,P0
transport_distance_engine,موتور حمل و فاصله,محاسبه مبالغ حمل، مسیرها، مبدا/مقصد، فاصله‌ها و اتصال به متره.,"brv_dstb, brv_dstn_main, brv_dstn_fromto, brv_hmpy, distance_view, haml/distance reports","TransportDistance, MeasurementGroup, MeasurementLine","TransportDistance.amount, Financial impact","brv_dstb, brv_dstn_main, brv_dstn_fromto, brv_hmpy, brv_hmpy_rzmt",distance/haml/pk_dist reports,POST /api/documents/[documentId]/transport/recalculate,yes,link_mog/link_grop و روابط مسیر نباید از بین برود.,P1
resource_analysis_engine,موتور منابع و آنالیز بها,محاسبه آنالیز بها از منابع، مقدار عامل، قیمت روز و گروه منابع.,"brv_sorc, brv_sorc_all, brv_nmmhb, base_sorc, resource_price.xlsx, ana reports","AnalysisLine, Resource, ProjectItemSnapshot","AnalysisAmount, ResourceCostBreakdown","brv_sorc, brv_sorc_all, brv_nmmhb, base_sorc","ana reports, sorc reports",POST /api/documents/[documentId]/analysis/recalculate,yes,کد عامل و واحد منبع باید دقیق حفظ شود.,P1
roundtrip_validation_engine,موتور اعتبارسنجی برگشت به تکسا,کنترل اینکه export SVZT/Excel/PDF ساختار و داده قابل قبول برای تکسا داشته باشد.,"Actual SVZT, ScriptXML.sql, roundtrip requirements, raw_to_web_entity_mapping","TaksaArtifact, TaksaRawTable, TaksaRawRow, ExportJob, AuditLog","ExportValidationReport, ExportDiff","All raw XML tags, especially case-sensitive names","SVZT export, Excel templates, PDF reports","GET /api/documents/[documentId]/export/check, POST /api/documents/[documentId]/export/svzt",yes,اگر raw preservation و patch merge رعایت نشود فایل در تکسا خراب می‌شود.,P0
