engine,rule_family,inputs_required,core_outputs,validation_against_taksa,implementation_note
Reference Price List Engine,فهرست‌بها و آیتم‌های پایه,"base_fhbh, base_fsbs, base_book, base_nmmhb, viwBase1400..1404, Note_14xx PDFs",محاسبه معتبر + audit trail + report-ready projection + round-trip patch plan,مقایسه با SVZT نمونه، گزارش‌های RPT متناظر، Excel template متناظر و ویو/پروسیجر SQL در صورت وجود,تغییر کد/سال/واحد باعث خراب شدن export به SVZT و گزارش‌ها می‌شود
Price List Conversion/Upgrade Engine,تطبیق و بروزرسانی سال فهرست‌بها,لیست مغایرت 1404/1403، base_tatbigh، CNV*، copy_base_*، change_book*,محاسبه معتبر + audit trail + report-ready projection + round-trip patch plan,مقایسه با SVZT نمونه، گزارش‌های RPT متناظر، Excel template متناظر و ویو/پروسیجر SQL در صورت وجود,تغییر سال بدون mapping رسمی باعث عدم تطابق با تکسا می‌شود
Coefficient Engine,ضرایب قرارداد و فهرست‌بها,"base_zrtj, brv_mult, brv_fhpy, Lc PDFs, Zarib PDFs, SQL procedures",محاسبه معتبر + audit trail + report-ready projection + round-trip patch plan,مقایسه با SVZT نمونه، گزارش‌های RPT متناظر، Excel template متناظر و ویو/پروسیجر SQL در صورت وجود,ترتیب اعمال ضرایب و سطح اعمال اگر اشتباه شود برگه مالی با تکسا برابر نمی‌شود
Payment Certificate Engine,صورت‌وضعیت و کارکرد تجمعی,"brv_situ, brv_type_situ, brv_bgml, brv_rzmt, viwSooratVaziat, Reports sv_*",محاسبه معتبر + audit trail + report-ready projection + round-trip patch plan,مقایسه با SVZT نمونه، گزارش‌های RPT متناظر، Excel template متناظر و ویو/پروسیجر SQL در صورت وجود,محاسبه تجمعی و نگهداری nusv/type اشتباه، برگشت به تکسا را خراب می‌کند
Adjustment/Index Engine,تعدیل و شاخص‌ها,"Shkh PDFs, Base_ShakhesYerSeMahe, V_Shakhes*, brv_intp, viwTadil, tdil reports, S.tadil/Tadil PDFs",محاسبه معتبر + audit trail + report-ready projection + round-trip patch plan,مقایسه با SVZT نمونه، گزارش‌های RPT متناظر، Excel template متناظر و ویو/پروسیجر SQL در صورت وجود,case mismatch مثل brv_Tadilkosorat/ brv_TadilKosorat و دوره اشتباه باعث export ناسازگار می‌شود
Deduction Engine,کسورات و مالیات/بیمه/تعدیل کسورات,"brv_kosorat, brv_TadilKosorat, Mali.xls, bgml reports, PDFهای مالی/بیمه",محاسبه معتبر + audit trail + report-ready projection + round-trip patch plan,مقایسه با SVZT نمونه، گزارش‌های RPT متناظر، Excel template متناظر و ویو/پروسیجر SQL در صورت وجود,کسر اشتباه مبلغ نهایی و گزارش bgml را از تکسا جدا می‌کند
Measurement Engine,متره و ریزمتره,"brv_rzmt, brv_acts, Rizmertreh.xls, kholaseh_metreh.xls, rzmt_act.xls, rzmt reports",محاسبه معتبر + audit trail + report-ready projection + round-trip patch plan,مقایسه با SVZT نمونه، گزارش‌های RPT متناظر، Excel template متناظر و ویو/پروسیجر SQL در صورت وجود,عددها باید numeric بمانند؛ متن/فرمول نباید ارتباط با ردیف تکسا را از بین ببرد
Resource/Analysis Engine,منابع، آنالیز بها، قیمت روز,"base_sorc, base_sorc_list, brv_sorc, brv_sorc_all, resource_price.xlsx, ana/sorc reports",محاسبه معتبر + audit trail + report-ready projection + round-trip patch plan,مقایسه با SVZT نمونه، گزارش‌های RPT متناظر، Excel template متناظر و ویو/پروسیجر SQL در صورت وجود,واحد و کد عامل اگر normalize نشود آنالیز بها و گزارش‌ها مغایر می‌شوند
Materials-at-site/Mobilization Engine,مصالح پایکار، تجهیز و مابه‌التفاوت,"Tajhiz/Tadil_Tajhiz PDFs, brv_khmt/brv_khtd/brv_mhjo, viwTatbigh_Paykar, reports khmt/khtd/mhjo",محاسبه معتبر + audit trail + report-ready projection + round-trip patch plan,مقایسه با SVZT نمونه، گزارش‌های RPT متناظر، Excel template متناظر و ویو/پروسیجر SQL در صورت وجود,عدم تفکیک پایکار/کار انجام‌شده باعث خطای تعدیل و مالی می‌شود
Transport/Distance Engine,حمل، فاصله و مسیرها,"distance_view, pk_dist reports, brv_distance/haml reports, Tb_Ert/Haml docs",محاسبه معتبر + audit trail + report-ready projection + round-trip patch plan,مقایسه با SVZT نمونه، گزارش‌های RPT متناظر، Excel template متناظر و ویو/پروسیجر SQL در صورت وجود,فاصله و مبنای حمل اشتباه، گزارش‌های حمل و مبلغ نهایی را خراب می‌کند
Workflow Lock/Audit Engine,قفل، نسخه، حذف وابسته و audit,"Fn_TypeIsLocked, Fn_VersionNztIsLocked, triggers, DELETE procedures",محاسبه معتبر + audit trail + report-ready projection + round-trip patch plan,مقایسه با SVZT نمونه، گزارش‌های RPT متناظر، Excel template متناظر و ویو/پروسیجر SQL در صورت وجود,ویرایش سند قفل‌شده باعث مغایرت با تکسا و مسئولیت حقوقی می‌شود
Normalization Engine,تاریخ، عدد، واحد و نرمال‌سازی,"Utility functions, base_unit/base_unit_raw, MakeDate, decimal_swap, Correct functions",محاسبه معتبر + audit trail + report-ready projection + round-trip patch plan,مقایسه با SVZT نمونه، گزارش‌های RPT متناظر، Excel template متناظر و ویو/پروسیجر SQL در صورت وجود,تفاوت صفر/null/خالی یا اعشار باعث اختلاف محاسبه و export می‌شود
