source_or_database,file_or_location,type,can_use,how_to_use,what_not_to_do,need,priority
Web Production DB پیشنهادی,PostgreSQL جدید پروژه وب,Operational relational database,بله، دیتابیس اصلی محصول وب,با Prisma/Next.js برای پروژه، قرارداد، workflow، raw تکسا، محاسبات، audit، گزارش‌ها و export jobs.,نباید raw تکسا را مستقیم جایگزین مدل وب کند؛ باید لایه raw و normalized جدا باشد.,باید ساخته شود,Critical
Taksa Raw Artifact Store,داخل PostgreSQL + Object Storage,Raw XML/file preservation layer,بله، برای round-trip ضروری است,"TaksaArtifact, TaksaRawTable, TaksaRawRow؛ فایل اصلی هم در Object Storage نگهداری شود.",حذف unknown table/field یا تغییر case نام tagها ممنوع.,باید ساخته شود,Critical
Reference Database وب,PostgreSQL schema جدا مثل reference یا public با versioning,Reference/master data,بله، باید از منابع تکسا/PDF/DB تغذیه شود,فهرست‌بها، فصل، آیتم، واحد، منابع، شاخص، ضرایب پایه و تطبیق سال‌ها.,نباید فقط از PDF دستی ساخته شود؛ باید با base_* و خروجی تکسا cross-check شود.,باید ساخته شود,Critical
DB/myscr.sql,taksa_combined/DB/myscr.sql,SQL Server schema script,بله، برای تحلیل schema و mapping,استخراج table/column و کمک به طراحی Prisma/Postgres schema.,به عنوان دیتابیس runtime وب استفاده نشود.,داریم,High
DB/ScriptConst.sql,taksa_combined/DB/ScriptConst.sql,SQL Server constants/constraints script,بله، برای قیود، ثابت‌ها، PK/FK و کدهای پایه,استخراج روابط، constraintها، lookupها و رفتارهای پایه.,مستقیم در Postgres اجرا نشود؛ باید تبدیل و بازطراحی شود.,داریم,High
DB/ScriptXML.sql,taksa_combined/DB/ScriptXML.sql,SQL Server XML import procedure,بله، برای import/export map بسیار حیاتی,شناخت OPENXML مسیرها، جدول‌های import، ترتیب ورود و کلیدهای type/nusv/link_proj.,اشتباهات/typoهای path را بدون مقایسه با SVZT واقعی کپی نکنیم.,داریم,Critical
prj*.scp,"DB/prjAll.scp, prjPK.scp, prjFK.scp, prjSpDTDF.scp",MS SQL Database Comparer config/script-like files,بله، برای تحلیل مکمل,کمک به تشخیص PK/FK/SP/Function/Trigger و مقایسه schema.,نباید فرض شود همه این‌ها DDL مستقیم و کامل هستند.,داریم,Medium-High
Faragamara_Taksa.DB,Faragamara_Taksa.DB_analyse.zip / فایل اصلی 1GB,SQL Server backup-like/TAPE,بله، اما فقط بعد از restore یا استخراج کنترل‌شده,بهترین منبع برای base_*، viewها، procedureها، rules، reference data و تکمیل موتور محاسبات.,مستقیم در Node/Postgres قابل استفاده نیست؛ فایل‌های password/readable_strings نباید وارد repo شوند.,داریم ولی برای استفاده کامل به SQL Server restore نیاز داریم,Critical
Faragamara_Taksa_Str.DB,در چک‌لیست اولیه ذکر شده؛ در پکیج فعلی قطعی/کامل بررسی نشده,احتمالاً DB/backup مکمل,نامش را داریم، ولی فعلاً قابل اتکا برای اجرا نیست,اگر فایل کامل موجود شد، مثل DB اصلی بررسی/restore شود.,تا قبل از بررسی کامل، روی آن معماری نسازیم.,اگر موجود است باید جداگانه آپلود/restore شود,Medium
SVZT.MDB / BRVT.MDB / PSNT.MDB,taksa_combined/Main/*.MDB,Microsoft Access MDB template/reference,تا حدی؛ برای template/file-format clues,در صورت داشتن ابزار Access/ODBC، schema داخلی استخراج شود و با SVZT/ScriptXML مقایسه شود.,به عنوان دیتابیس production یا runtime وب استفاده نشود.,داریم، ولی استخراج عمیق اختیاری/تکمیلی است,Medium
MSPSchema.mdb,taksa_combined/Main/MSPSchema.mdb,Microsoft Project/Access schema,محدود و تکمیلی,برای اتصال MSP و ActivitySchedule اگر وارد فاز برنامه زمان‌بندی شدیم.,برای MVP صورت‌وضعیت وابسته‌اش نکنیم.,داریم,Low-Medium
Actual SVZT نمونه,نمونه .svzt آپلودشده,XML dataset artifact,بله، برای golden import/export و round-trip,منبع واقعی برای table/tag order، row counts، case names و mapping.,با دیتابیس اشتباه گرفته نشود؛ raw artifact است.,داریم,Critical
Excel templates,"Fosool.xls, Mali.xls, Rizmertreh.xls, ...",Input/output templates,بله، برای خروجی و تست قالب,طراحی export Excel numeric و cross-check ستون‌ها.,به عنوان موتور محاسبات اصلی استفاده نشود.,داریم,High
RPT reports,Reports/**/*.rpt و Reports_RPT_only.csv,Crystal Reports templates/catalog,بله، برای report registry و شناخت خروجی‌ها,دسته‌بندی reportها و ساخت report projection وب.,همه 1606 گزارش را خام در UI نریزیم.,داریم,High
Web app Object Storage,S3/MinIO/local volume,File/blob storage,باید اضافه شود,نگهداری SVZT اصلی، exportها، PDF/Excelها، attachments و backup artifacts.,فایل‌های بزرگ را داخل جدول Postgres به شکل blob سنگین نریزیم.,نیاز داریم,High
Golden Test Database/Fixture Store,Postgres schema یا پوشه fixtures در repo/private storage,QA/reference comparison store,باید اضافه شود,نگهداری خروجی‌های واقعی تکسا، expected totals، diffها و rounding evidence.,فرمول‌ها را بدون fixture واقعی نهایی نکنیم.,نیاز داریم,Critical
